o	Suzy reached the exam centre on time. She	danced her way to her room.	bought tofu for the night's dinner	met her friends at the gate.	went back home from the centre	2
o	Police received word of a burglary nearby. They	run in and steal items.	bring expensive items as replacements.	start investigating the family dog.	started driving to the location.	3
o	Harry Potter uttered the words of an invisibility spell and waved his wand at Hermione. She	drew her wand and pointed it at him.	shrunk down to the size of a rat.	turned translucent and disappeared.	said that she couldn't talk now.	2
q	ten minus nine is	eight	ten	nine	one	3
o	Sachin was considered the best batsman in the world when he retired last year. People	will miss watching him bat.	will miss watching him bowl.	will watch him bat next year.	hate watching him bat.	0
r	A dog walks into a lecture hall. It	gives a lecture.	teaches the class.	lies in the front.	speaks into a microphone.	2
n	I am tall enough to play basketball. I	joined a basketball team.	am not short.	am good at playing basketball.	love playing basketball.	1
o	A group of people is walking outdoors and are preparing to run in a race. They	get back in their cars	take a nap	run down city streets and wave to the crowd watching them.	run away from the bear.	2
n	The lion was on the lookout of a prey. He	submits to the will of the lioness	was interrupted by the large caravan going by	was friendly to people	had never tasted blood all his life	1
o	A dentist hands his patient a toothbrush. He	also hands them dental floss, says to make potato salad, and to stir it with the toothbrush	tells them they have cavities, consumes a tooth, and throws the toothbrush.	grabs toothpaste, squirts it on his computer, and throws away the toothbrush.	reminds them to use it twice a day.	3
o	People learn second languages because	they want to talk to their parents.	they are interested in them.	they got nothing better to do.	people forget a language every year so they need to learn a new one so they can talk.	1
o	The dog is barking at a thief. The thief	run to the dog and bite the dog	is scared away	is laughing	likes the dog	1
o	Anne turned 13. She wore a beautiful dress and was surrounded by her friends and family. She ate a	carrot cake,	birthday cake.	wedding cake.	hot dog.	1
o	The word khaki originates in India and refers to a certain type of material. As a loan word, in English khaki means	that's right sucker.	Midwestern weather sucks.	let's go on a strike!	a color and a type of pants.	3
o	Quincia is helping me with my machine learning homework. To thank her, I	tell her I have cancer.	offer to assist her in some other endeavor.	throw all the papers up in the air and scream "this is hopeless!"	never speak to her again.	1
o	A man's cat won't eat his food after surgery. The man should	put the cat outside.	call the vet.	cook the cat into his favorite food.	get a new, better cat.	1
i	A parent is angry at a child for breaking a vase. The parent	trades the child for a vase	lets the child break another vase	punishes the vase for breaking the kid	lets the child off the hook with a warning	3
o	The dog is chasing the cat. The cat	is trying to find the cat food.	is sharing a meal with the dog.	is hunting a mouse.	is terrified.	3
o	For the holidays, I eat a lot of food. I	donated a sweater	planted a flower	love gingerbread cookies best	lost weight	2
o	Mary scrolls through her Facebook newsfeed. She	likes a picture of an elephant.	throws her phone on the ground.	laughs at a eulogy post.	picks up a piece of paper.	0
o	My parents bought are purchasing an air conditioner in the store. I	will play better at basketball.	will drive to work today.	will feel good in the summer.	will study harder at school.	2
o	Bill loves his Mac and so does Andrew. But Andrew	is looking for revenge	took it apart	also has a PC	loves Bill	2
o	A bird sings in the woods. He	is scared of the new housecat.	is looking for a mate.	doesn't like being trapped in a cage.	is migrating north for the winter.	1
n	He wasn't irresponsible about his duties, so he was	responsible	not responsible	lazy	irresponsible	0
r	A girl walks her dog around her neighborhood. She…	then laps up water from the faucet	then goes to the park	wags her tail	catches the frisbee in her mouth	1
o	Janice fights with her sister. Janice	throws a mountain at her sister	drinks nitro	punches her	sisters her fight attack	2
o	A car drives on a long highway for one hundred hours without stopping. The car	can fly.	has flat tires.	has no driver.	is a solar car with batteries for the night.	3
o	I started up the steps to the front door of 326 East Sixty-ninth Street, then realized I couldn't make it with both bags and my violin. Leaving one bag on the sidewalk, I	brought more bags and started playing the violin	nothing	dragged the other up the steps with me	nothing	2
o	The boy thought he bought his a dad a brand new office chair for christmas. The boy	took the chair apart.	set the chair on fire.	realized it was used.	painted the chair.	2
o	Jimmy felt that his hands were sticky. He	washed them with glue.	pasted them onto a wall.	rinsed them in the sink.	showered under a waterfall.	2
o	The right-leaning man didn't like the left wing. He	flew his plane unevenly.	always gave the right wing presents.	would never vote for a progressive.	bought a company that manufactured right wings.	2
o	Kelly went bananas. She	bought some fruits at a market.	ordered a fruit milk shake.	walks to her car.	jumped over the table.	3
o	A dog stares out the window. He	wants to write messages in the window fog.	sees the neighbors across the street and wants to say hi.	is waiting for the mailman to bring him his paycheck.	is longing for the better days of his youth.	1
p	A man places a basket of fruits on the table. He	smashes the basket with a gallon of milk.	wishes his family would eat better.	is the fruit of a happy marriage.	will wait for the basket to ripe and become froot loops.	1
r	A team of anthropologists uncovers a mummy in a tomb. The mummy	performs an anthropology experiment.	thanks the anthropologists.	doesn't move.	congratulates the anthropologists.	2
o	The dog excitedly jumped out of the car window as they pulled up to the dog field. The dog	likes being a dog.	owns the field.	then sprinted towards his friend.	hates the field.	2
o	I am getting gas in my car. I	drive away from the gas station.	look for the cheapest option.	realize I have to buy a car first.	put the gas nozzle in my mouth.	1
o	The florist needed to find a new supplier of daisies. The florist	picked sunflowers on their walk home.	sold sophisticated floral arrangements  in her store.	took a trip to Florida.	used the phone book to find some new contact information.	3
r	Sam lives in America and is talking on an international call with Joe, who is a Canadian. Sam	lives in Mumbai, India.	lives in America.	lives in Canada.	lives in Chicago.	1
o	Peanuts are nuts, all nuts are food. Peanuts	are rubbish.	are not food.	are not nuts.	are food.	3
o	A group of dogs are running around a race track. The leader	digs in for the home stretch.	digs in the sand playfully.	computes the derivative of the inside function.	catches a frisbee in its mouth.	0
o	Justin is at a swimming race and gets ready. He	can't wait to start jumping into the pool	swims into his dreams	waits for the start sound and prepares	waits for his mom to watch him swim	2
p	the presentation is a bomb. the presentation	is really bad	is awesome.	tells a story about bomb.	cause bomb	1
o	The girl just finished a chemistry lab at her university. She	is seven years old and wants to be a scientist when she grows up.	starts cooking dinner on the Bunsen burner.	goes to write the report.	is wearing a swimsuit.	2
o	I trained my parrot to fix my resume. He	referred me to a coworker of his who specialized in economics.	told me to organize a portfolio of my past works.	just repeated what I said to it.	helped me get many job offers.	2
o	I used a telescope with	under the planet’s surface.	something that is close.	something far away.	a lens.	3
o	The child went out for his first halloween. He	got candy	bought some spiderwebs	went to class	got coffee	0
o	I am a student studying journalism at Northwestern University. I	can't wait to buy a new house.	will find that the steak is too raw.	am going to take a class on nuclear physics.	write an article for a course	3
o	Tina wants to improve her Math grades. Tina	spends a lot of time playing games.	never attends class.	works hard.	likes shopping.	2
o	Today my classmate asked an intriguing question. He	has a deep understanding of the material.	is really good at soccer.	is secretly the teacher.	stood upside down.	0
o	An author types away at his keyboard. He	prints out his work to check the grammar.	says to the customer, "Do you have a membership card with us?"	throws a frisbee with his son.	pulls into the left-turn lane and puts his blinker on.	0
o	Rose tucks her two children in for bed. She	kisses all three of them goodnight.	wishes she had children.	reads both of them a bedtime story.	has only one child.	2
o	Sarah showed up late for her interview. The	resume submitted her.	alarm wasn't set properly.	interviewer was so impressed by her.	job wasn't for her.	1
o	A woman is making a tequila sunrise. After putting ice in the glass, she	watches the sun rise on the beach.	mixes in liquor and juice.	puts ice in the glass.	pours the ice out of the glass.	1
o	A banker sat in the courtroom. She	ate an expensive banana.	counted her money and opened a savings account.	was indicted for defrauding customers.	spun around three times and cast a spell.	2
r	Bob tells his best friend Sally that he has a crush on her. She	decides she has to do her homework.	has a heart attack.	starts screaming because she actually hates him.	smiles.	3
o	Kelly is decorating her house and wants to jazz things up a bit. She	adds in some flower pots.	goes to a jazz club.	loves the 80s.	bought a saxophone.	0
r	An old man rides a small bumper car. Several people	are minding their own business.	get in the parking lot.	are watching him maneuver his car smartly.	are trying to take him out and fly away in his car.	2
o	A boy has three yellow objects. They	are eggplants.	are blades of grass.	are bananas.	are footballs.	2
o	He dribbles the basketball carelessly. An opposing player runs towards him and	dives.	steals the ball.	trips and falls.	tackles him.	1
o	The exam went horribly. I didn't even know	what my name was	who was in my blind-spot on the road	what I ate for breakfast	how to compute the derivative	3
